,,,,,
,,,,,
,Rodzaj usługi,Czas trwania,Płatność jednorazowa,Karnet 4x,Karnet 8x
,Nauka czyszczenia i siodłania konia ,20 min,20,,
,Oprowadzanka dla dzieci do 7 lat,15 min,40,,
,,30 min,60,210,
,Teren/Lonża,30 min,80,280,480
,Teren/Trening indywidualny dla początkujących,45 min,100,350,640
,Teren/Trening indywidualny dla zaawansowanych,60 min,120,420,760
,Teren/Trening 2 osobowy,60 min,90,315,560
,Grupa 3-4os plac,60 min,75,,
,Teren dla grupy min 2 osobowej,30 min,60,,
,,45 min,75,,
,,60 min,90,,
,,90 min,120,,
,,120 min,150,,
,,,,,
,Rodzaj usługi,Cena za osobę,Ilość h w siodle,,
,Dzień z koniem,220,1,,
,Półkolonie (poniedziałek-piątek) dla początkujących i średnio zaawansowanych,1000,5,,
,Kolonie z noclegiem (poniedziałek-piątek) dla zaawansowanych ,2000,12,,
,Rajd jednodniowy z ogniskiem,300,3,,
,"Rajd z noclegiem w stajni, biesiadą i śniadaniem",500,3,,
,,400,2,,
,,300,1,,
,Transport na dzień z koniem lub półkolonie – cena do ustalenia,,,,
